0,0,5
0,0,7
0,0,11
0,0,14
0,0,18
0,0,20
0,0,26
0,0,32
0,1,0
0,1,2
0,1,6
0,1,11
0,2,0
0,2,7
0,2,10
0,2,12
0,2,19
0,2,26
0,3,3
0,3,4
0,3,4
0,3,9
0,3,10
0,3,13
0,3,18
0,3,19
0,3,23
0,4,3
0,4,10
0,4,12
0,4,16
0,4,18
0,5,6
0,5,12
0,5,14
0,6,3
0,6,26
0,7,5
0,7,16
0,7,23
0,7,24
0,9,4
0,9,4
0,9,4
0,9,7
0,9,13
0,9,19
0,9,22
0,9,27
0,10,8
0,10,11
0,10,19
0,12,10
0,12,15
0,13,2
0,13,6
0,13,12
0,13,18
0,13,23
0,13,29
0,13,30
0,13,31
0,14,2
0,15,7
0,15,14
0,15,21
0,15,24
0,15,24
0,15,26
0,15,32
0,16,27
0,17,4
0,18,2
0,18,9
0,18,15
0,18,27
0,19,5
0,19,10
0,19,14
0,19,18
0,19,21
0,19,24
0,19,29
0,19,30
0,19,32
0,20,0
0,21,46
0,22,4
0,22,16
0,23,7
0,23,11
0,23,19
0,24,1
0,24,2
0,24,6
0,24,6
0,24,10
0,24,13
0,24,16
0,24,18
0,24,23
0,25,10
0,25,15
0,25,19
0,25,20
0,25,24
0,26,0
0,26,2
0,26,2
0,26,2
0,26,9
0,26,12
0,27,14
0,27,26
0,28,10
0,28,15
0,28,20
0,28,28
0,28,28
0,29,5
0,29,9
0,29,14
0,29,14
0,29,16
0,29,19
0,29,20
0,29,20
0,29,25
0,29,26
0,30,19
0,30,20
0,31,2
0,31,10
0,31,15
0,31,20
0,33,7
0,33,20
0,33,34
0,34,8
0,34,14
0,34,26
0,34,34
0,35,24
0,35,29
0,36,3
0,36,4
0,36,9
0,36,9
0,36,10
0,36,12
0,36,12
0,36,12
0,36,16
0,37,5
0,37,6
0,37,10
0,37,16
0,37,16
0,37,18
0,37,20
0,37,24
0,38,6
0,38,13
0,38,20
0,39,4
0,39,7
0,39,7
0,39,11
0,39,13
0,39,17
0,39,19
0,39,23
0,39,28
0,39,29
